地铁道	地下铁道
接壤比邻	接壤
旁边苦受难的村落	旁边受苦受难的村落
喀睫	咯吱
片片断断	片断
出自内心深处	源于内心深处
安住家中	安居家中
避震器	减震器
屈指可数的窗户	寥寥无几的窗户
当两人一起跌倒的状态下	在两人一起跌倒的情况下
来白冰之翼	来自冰之翼
碓认	确认
害怕的不敢动弹	害怕得不敢动弹
拉距	拉锯
又善与恶	由善与恶
一片覆盖着白雪的街道	覆盖着白雪的街道
距离伊利沙里纳独立国同盟边境以北	伊利沙里纳独立国同盟边境以北
坦克和装甲车，它们	坦克和装甲车
对对私掠船	对私掠船
铠甲步兵	铠甲的步兵
所制成的武器	
即使不清楚坦克详细款式款式	即使是不清楚坦克详细款式
术制的桌上	木制的桌上
第十三早第二节	第十三章第二节
否则就是根本	就是根本
遭到这样的下场	落得这样的下场
两人选躲在	两人还躲在
灯沲光	灯泡
冰粒里	冰粒
订出精确的目标	定出精确的目标
的目的，纯粹是想	纯粹是想
用来负责	用来
前进基地	朝基地前进
束源	来源
知遒	知道
不过这是你第一次在面对敌对的专业人士	这是你第一次在面对敌对的专业人士时
椅了	椅子
杯震	被震
一障	一阵
好坏与否	好坏
指敦	指教
明明和滨面他们用同样的速度穿越森林的<ruby>驱动铠<rt>Powered Suit</rt></ruby>，像是	<ruby>驱动铠<rt>Powered Suit</rt></ruby>明明和滨面他们用同样的速度穿越森林，却像是
不仅在被雪覆盖的疾驰	不仅在雪地疾驰
补强遇的	补强的
让人产这种	让人产生这种
发射并发射	发射井发射
罗？	啰？
AlM扩散力场	AIM扩散力场
是造成经由	是经由
红光其中四发	红光中的四发
都能让人害怕	也能让人害怕
你的体制	你的体质
势力庞大兵力	庞大兵力
顶言家	预言家
或是现在人正在上头	还是现在人正在上头
也不可能平安无事	都不可能平安无事
大概为为	大概是为
在不知情的状况为了	在不知情的状况下为了
一般军服设的	一般军服设计的
收到灵装某种程度保护	受到灵装某种程度保护
漆黑地不自然	漆黑得不自然
将它用到得心应手	得心应手地使用
延着	沿着
格力金能可以	格力金能
第二十三早第四十四节	第二十三章第四十四节
