旧	新	注释
村人	村民	
繁华地带完全没有人	繁华地带，竟然完全没有人	
往上条袭来	袭往上条	
反过来说，每次	那么每次	
首先轻叹	轻叹	
插在颈上	插在脖子上	
无照名医	无证名医	
从前原本	原本	
(?<=Devil_or_God\.</span></h1>\n)<h2>1</h2>\n		终章原文无节号：原文第一~四章有节号（１~Ｎ），序章与终章均无；上游误加「1」，且孤立的「1」无后续节号，体例上亦不成立。含标签的键对 triage 收敛不可见，对应块需按对人工提交（.agents/skills/sync-triage/SKILL.md 第 6 节）。
<p>而在那边，</p>	<p>而在那边</p>	原文「そこに、そのテーブルに、巫女さんがいた。」；跨行断句逗号误置，删逗号后与下行连成「而在那边的桌旁」
当然，身为一个组织的代表，他在人格上有明显的缺陷	不过，身为一个组织的代表，他在人格上有明显的缺陷	原文「もっとも、彼は何かの組織の代表として立つ者としては、人格に著しい欠陥がある人間なのだが。」もっとも表让步，「当然」反转逻辑
为什么那场战斗会如此例外地默许了？	为什么那场战斗会被如此例外地默许？	原文「何故あの戦闘は例外的に許されたのだろう？」被动「許された」，补「被」
因为这个城市里面的居民，两百三十万居民全都具备某种能力	因为这个城市里，两百三十万居民全都具备某种能力	「居民」重复赘余
就多达七万零六百三十二种之多	就有七万零六百三十二种之多	「多达……」与「……之多」句式杂糅
百科字典	百科全书	原文「百科事典」；「百科字典」为不规范词形
店员要给我们<ruby>赶出去<rt>红牌</rt></ruby>？	店员要把我们<ruby>赶出去<rt>红牌</rt></ruby>？	基文缺介词「把」读不通
而且我没钱啦，最好是你已经帮它取名字了	而且我没钱啦，再说你不是已经帮它取名字了吗	原文「お金はないしもう名前つけてんじゃねーよ」反诘语气，「最好是」语义方向相反
cat!Do	cat! Do	英文句中漏空格
拿来利用方便的	拿来利用很方便的	成分残缺不成句
最好的方式当然就是先抓到他	最好的方式当然就是先抓到她	指代吸血杀手（姬神秋沙，女性），同句后文即作「制服她」
拥有最适合用来杀人力量的人	拥有最适合用来杀人的力量的人	缺结构助词「的」
姬神秋沙应该正监禁在	姬神秋沙应该正被监禁在	被动句缺「被」
她就有办法逃离三泽塾的掌控之中？	她就有办法逃出三泽塾的掌控之中？	「逃离……之中」句式杂糅
他们所配给的装备也只是普通的施术铠与十字枪	配发给他们的装备也只是普通的施术铠与十字枪	原文「支給された装備」为被动，译文主被动颠倒
都因为全灭而形成灰烬飞舞的这幅地狱景色之中，	都已全灭而化作灰烬暴雪的这幅地狱景色之中，	原文「全滅し灰の吹雪と化したこの地獄の中」；双重「因为」缠绕且原文无此因果
的确，炼金术这玩意的威胁性高的。	的确，炼金术这玩意确实是个威胁。	原文「錬金術は確かに脅威だけど」；「威胁性高的」不成句
带着一堆耳环跟戒指	戴着一堆耳环跟戒指	佩戴饰品用「戴」；卷内他处均作「戴」
简直像是用手去抓住行驶中的大卡车台座一样	简直像是用手去抓住行驶中的大卡车车斗一样	原文「ダンプカーの荷台」（载货台），「台座」误译
Dragon Breathe	Dragon Breath	名词应为 Breath；全语料他处均作 Dragon Breath
正正堂堂地	堂堂正正地	中文规范词形
就好像面对一个正打算要去偷袭的对手，却先去敲他家的门一样	就好像正要去偷袭对手，却先大摇大摆去敲他家的门一样	原文「これから奇襲する相手の家のドアにノックしているかのような」，偷袭主体是自己，译文主体颠倒
让皮肤跟穿着都非常白皙的男人，看起来更加独特	让皮肤白皙、一身白衣的男人，看起来更加独特	原文「肌も服も白い」；「白皙」不能修饰穿着
弥补了自己心中原本所缺陷的部分	弥补了自己心中原本所欠缺的部分	「所」后须接动词，「缺陷」是名词
四周地板上所倒着的学生	四周地板上倒着的学生	「所倒着」不通
撼动这个数千人的「战场」言语漩涡	撼动这个数千人的「战场」的言语漩涡	缺「的」致定语与中心语粘连；原文「『戦場』そのものを揺るがしかねない言葉の渦」
你这样的警戒装置	你这样的警备装置	原文「警備装置」（守卫装置，指假奥雷欧斯替身）
于是<ruby>瞬间炼金<rt>Lumen Magna</rt></ruby>。	于是举起<ruby>瞬间炼金<rt>Lumen Magna</rt></ruby>。	原文「瞬間錬金リメン＝マグナを構え」；漏译谓语「構え」致句子残缺
光是这样的事情，就让上条全身剩余的力量似乎都获得解放。	光是这样的事情，就让上条全身的力气似乎都泄了个干净。	原文「上条の全身から残らず力を抜いていった」为脱力义，译文方向相反；「残らず」是一点不剩
那飞镖应该也是一种赋予「异能之力」的道具吧	那飞镖应该也是一件被灌注了「异能之力」的道具吧	原文「『異能の力』でも込められた一品」为被动，施受方向相反
他想要探究的是「人类维持着人的形体与尊严」	他想要探究的是「人类维持着人的姿态与尊严」	与 1115 行「人维持着人的姿态与尊严」统一；原文均为「人の姿と尊厳」
召唤到「硬币的背面」	召唤到「硬币背面」	结界术语全卷 16 处均作「硬币背面」；原文「『コインの裏』へ招いてある」
原本已经融在一起的纯金	原本已经熔在一起的纯金	金属受热用「熔」；全卷金属语境均作「熔化」
似乎从自己的耳膜在撼动着脑袋	仿佛从耳孔往脑袋里钉进桩子一般	原文「耳の穴から脳に杭を打ち込まれるように」；「从…在…」结构残缺
右手已经连握起五根手指都已经有困难了	右手连握起五根手指都已经有困难了	「已经」重复
抓着满身是血的少年少女领口	抓着满身是血的少年少女的领口	缺「的」；原文「血まみれの少年少女の襟首を掴んでいた」
少说大话了，你不过是个区区魔法师。	少念经了，你不过是个区区魔法师。	原文「歌うな、魔術師風情が」，回应史提尔「神父として最後に祈ってあげようか」的提议，「说大话」偏离原意
在医院病房里面看见的那个不带感情的少年	在医院病房里面看见的那个表情空洞的少年	原文「病室で再会した透明な少年」；与 S1_01 尾声「表情空洞的少年」统一
追踪设置在学生宿舍中的卢恩魔法主人	追踪设置在学生宿舍中的卢恩魔法的主人	缺「的」；原文「学生寮に仕掛けてあったルーン魔術から、魔力の持ち主を辿って」
突然被插进两人之间的姬神呼喊声给打断	突然被插进两人之间的姬神的呼喊声给打断	缺「的」
自称兰斯洛特全身铠甲的人	自称兰斯洛特的全身铠甲的人	缺「的」；原文「ランスロットと名乗った全身鎧」
金色的……ars magna？	金色的……Ars Magna？	术语大小写与全卷统一（488/690 行及第四章、尾声、后记均作 Ars Magna）
我之前也说过，ars magna并不是人类能够达到的境界	我之前也说过，Ars Magna并不是人类能够达到的境界	同上
<b>还活在过去的时间中么</b>	<b>还活在过去的时间中吗</b>	「么」为「吗」之误字，全卷疑问句均用「吗」
我们历代伙伴共通的缺点	我们历届伙伴共通的缺点	与 509/511 行「历届伙伴」统一
红发的魔法师也一样摆平在地板上	红发的魔法师也一样被摔在地板上	原文「床に叩きつけられる」被动；「摆平」作不及物谓语不通
在穿过某间教室的外面走廊的时候	在跑过某间教室外面的走廊的时候	语序错乱；原文「ある教室の横を走り抜けようとした時」
一个接一个的送命	一个接一个地送命	状语助词应用「地」
龙王之首	龙王之颚	原文统一为「竜王の顎（あぎと）」；与第四章 316/333 行「龙王之颚」统一（终章 3 处）
有点像是子弹的用途。	有点像是子弹。	原文「イメージするなら弾丸だ」，无比喻「用途」义
那个爱当魔法师的电波女	那个自称魔法师的电波女	原文「電波系エセ魔法使い」，エセ 为假冒/自封义
就连第二女主角都不太爱听人家在讲什么	就连女主角候补都不太爱听人家在讲什么	原文「ヒロイン候補」；与上行「没能成为女主角的少女」呼应
让自己被『完成』	让自己得以『完成』	原文「人間が修行して『完成』すれば」为主动语态
漏东缺西	漏洞百出	原文「穴だらけだった本作」；「漏东缺西」为生造词
最好还是不要先看比较妥当	最好还是不要先看	句式杂糅；原文「できれば読まない方が良い」
