旧	新	注释
参了一脚	插了一脚	
波及到我们以外的什么程度	波及其他人到什么程度	
「<ruby>素养判定<rt>Parameter List</rt></ruby>」</p>	「<ruby>素养判定<rt>Parameter List</rt></ruby>」。</p>	原文句末有句号：『素養格付パラメータリスト』。かつて…
人身安全的数据数据。	人身安全的数据。	原文「その周辺にいる人達の安全を守るデータ。」；「数据」重文衍字
似乎有这改变女性身体一部分的设计	似乎有着改变女性身体一部分的设计	这/着形近讹；原文「女性の体の一部分にとても干渉するように設計されているようであった」
这群如果是战队影集，	如果是战队影集，	句首「这群」衍；原文「戦隊モノなら全員イエローに認定されてしまいそうな雰囲気の不良少年達は」
而一从『单一意志』	而从『单一意志』	「一」衍；原文『「一つの意思」から、特に悪意的な思考・感情を強く抽出する』のが番外個体
细小随片	细小碎片	原文「数ミリ単位の細かい破片が剥離して」
圆顶型的空间	圆顶形的空间	原文「ドーム状の空間」；形状义用「形」
并非完全仰类射击工具本身的破坏力	并非完全仰赖射击工具本身的破坏力	原文「飛び道具の破壊力そのものに頼る訳ではない」；仰类→仰赖
该死的浑账	该死的混账	原文「クソッたれが」；混账误作浑账
不管这是否陷阱	不管这是否是陷阱	原文「罠だろうが何だろうが」；「是否」不能直接接名词
黄泉川与芳用等人	黄泉川与芳川等人	人名误字；原文「黄泉川や芳川にまで及ぶ可能性」
好歹也是残存活至今的忍者后裔	好歹也是存活至今的忍者后裔	原文「曲がりなりにも今日まで生き残った忍びの末裔」；残存/存活糅合
接着他再好几个地方	接着他在好几个地方	再/在讹；原文「モーターを何ヶ所かに取り付け」
飞越一见度超过二十米的河流	飞越宽度超过二十米的河流	原文「幅二〇メートル以上の河川を一気に飛び越えたりもする」
是以阻碍身心行动	足以阻碍身心行动	原文「心や体の動きを阻害するレベルの」恐怖；是以→足以
揍她们一顿，让他们昏倒也行	揍她们一顿，让她们昏倒也行	原文「ぶん殴って気絶させるのもありな方向？」；与前句「她们」统一
神轻突触	神经突触	原文「必要なのは、シナプスのネットワークだけだ」；轻/经讹
巳经	已经	巳/已形近讹
发出轻征的呻吟	发出轻微的呻吟	原文「わずかな呻きを上げただけで」；轻征→轻微
原本就有不同，否则就是可以随不同模式切换装填方式	原本就有不同，那就是可以随不同模式切换装填方式	原文「方式そのものが違うか、モードによって切り替えられるようだ」；「若非…否则…」搭配不当
影响甚钜	影响甚巨	原文「だが距離が距離だ」；钜为巨之异体
超奔波搜索滨面的时喉	超奔波搜索滨面的时候	喉/候形近讹（与「巳经」同句顺带发现）；原文「浜面捜しにそこらを超走ってみれば」
