# 以下 4 条校正创约1 整卷重译波中上游改错的句子（旧译原本正确），均有原文实证。

# jp「これ(=補習を)開かないと上条ちゃん問答無用で二回目の一年生送りなんですけど」——承上句
# 「お互い学校まで行くの面倒臭いなら補習なんて開かなきゃ良いのに」，開く=开（补课）；
# 上游误读为「不开门」。
要是不开门的话小上条就不容置疑地要展开第二次一年级生活了	不补课的话小上条就不容置疑地要展开第二次一年级生活了

# jp「一息だった。」——美琴借磁力沿电梯井直上，全程仅一口气工夫；旧译「一下子就到了」正确，
# 上游改作「就差一口气了」（还差一口气）方向相反。
就差一口气了。	一下子就到了。

# jp「そういう意味では、根丘則斗は大きかった。」——上下文「ダメージの少ない者は歓迎し、
# ダメージの大きな者は反対する」、后句「一掃をきっかけに経済基盤が破壊されれば」，
# 省略主语为（受到的）损害；上游改作「根丘则斗的影响是巨大的」主客颠倒。
根丘则斗的影响是巨大的	根丘则斗受到的损失应该算是比较大的

# jp「そのまま右の銃を突き付けた。上条ではなく、よそへ。」——明确非指向上条；
# 上游改作「指着对方」与原文指向相反。
随后用右手的手枪指着对方	随后举起了右手的手枪
