十分感x	十分感——」
# JP：麦むぎ野の沈しず利り。日文原作汉字作「沈利」，Y 语料既定译名为「麦野沉利」（简体「沉」）；新译照抄日文原形「沈」属退化。
麦野沈利	麦野沉利
# JP：高層ビルの群れと、あちこちに三枚羽の風力発電プロペラが立ち並ぶエコな街。（原文「風力発電」仅一处，新译机械重复）
风力发电的三叶风力发电螺旋桨	风力发电的三叶螺旋桨
# JP：結局、自分でカーテン閉めないと知り合い設定しくじったＳＮＳみたいに全体公開でお着替えしてもらう訳よ？（新译缺「像」成病句，且「我帮你换衣服」偏离原文 お着替えしてもらう）
就回想朋友圈弄错设定那样，让所有人看着我帮你换衣服哦？	就像在朋友圈弄错设定那样，让所有人看着你换衣服哦？
# JP：ずらりと並んだボタンの列に、目立たない形で掌紋をチェックする読み取り機がついている。（「旁别」为错字）
一字排开的按钮旁别	一字排开的按钮队列里
# JP：ふふ、ごめんなさいアナタ。許してちょうだい。ちょっとコントロールを失敗したみたい（回钉：新译词序错乱属机械改动）
不好意思你啊	不好意思啊你
# JP：むしろカワイイ抵抗を楽しんでアゲル（享受抵抗的是说话者，新译「让你享受」主宾颠倒）
我就让你享受你那可爱的抵抗吧	就让我享受你那可爱的抵抗吧
# JP：『暗部』に身を置く人間には近づき難い。（暗部之人难以靠近那里，新译主客颠倒）
很难靠近身处「暗部」的人。	身处「暗部」的人很难靠近那里。
