从其他剩下的	从剩下的其他
毫发无伤的救出	毫发无伤地救出
跑出外面道路	跑出到外面的道路
箱型车	厢型车
四方十米	十米见方
横竖坐视不管	横竖
连尖叫还来不及发	还没来得及尖叫
撼动柏油路的轰声炸裂开来	柏油路炸裂开来
开始呻吟毫无抵抗地倒下	毫无抵抗地倒下，开始呻吟
这样的大移动	这样的大规模移动
木材地板	木地板
掉落地板	掉落在地板上
对方可说	可以说对方
砍倒空气	砍向空气
摇摇晃晃不稳	摇摇晃晃
受到的危险	面临的危险
作战只要一开始顺利	只要作战一开始顺利
害怕「自相残杀（或是怕遭到自相残杀）」	害怕自相残杀
「风」的攻击	风的攻击
微笑地继续说道	微笑着继续说道
防碍	妨碍
世界点心	世界各地的点心
通信机械	通信设备
这道铁桥	这座铁桥
以目前的状况下	在目前的状况下
对身体内部蓄积	在身体内部蓄积
转移对方注意同时	转移对方注意力的同时
至少在收拾事态为止	至少在事态平息之前
走山	滑坡
但这不仅是基于反动作用，由于过度依靠防御用术式，身体受到外来的冲击而破裂。	但这并非仅因反噬。显然是防御术式被击破，外部冲击撕裂了他的身体。
认视	认识
上条的话声	上条的声音
毛端	毛绒
画着强调眼角的浓妆	化着强调眼角的浓妆
