# JP：麦むぎ野の沈しず利り。日文原作汉字作「沈利」，Y 语料既定译名为「麦野沉利」（简体「沉」）；新译照抄日文原形「沈」属退化。
麦野沈利	麦野沉利
# JP：「味覚って舌以外にも引きずられるから、複数のアロマを組み合わせてバーチャルな味を再現できるキット」（原文单引号，新译引号重复）
「「味觉也会受到	「味觉也会受到
# JP：左右に車輪が二つ、カメラレンズが一つ（车轮共两个、一边一个；新译「左右各有两个」数量翻倍）
左右各有两个车轮	左右各有一个车轮
# JP：外から見ても分かるくらいド派手にベランダごと部屋が吹っ飛ばされた。（回钉：原文「外から」仅一处，新译「盛大炸毁，从外面一览无余」退化且冗余）
被盛大炸毁，从外面一览无余	被超夸张地炸飞了
# JP：実際にはお重のように、これが縦にいくつも重なっている訳だ。（回钉：「垒子」非词，お重 为多层食盒）
像垒子一样	跟叠罗汉一样
# JP：「それでわざわざ『暗部』に？　まあうちは労働基準法も風営法も気にしない派だけど」（原文单引号，新译引号重复）
「「所以才特地来	「所以才特地来
# 引号重复机械缺陷（JP 同 風営法 句：原文结尾单引号）。键带标签锚定：
# 本卷存在原文有意的齐声引号（「「…」」=两人、「「「…」」」=三人），纯文本键会误伤
</a>。」」</p>	</a>。」</p>
# JP：「は」（原文单引号，新译前后引号均重复）
「「Ha──」」	「Ha──」
# JP：鼻にワイヤレスイヤホン二個突っ込まれた人は手足を細かく痙攣させながらフゴフゴと、（新译混入繁体，全书为简体）
鼻子被塞了兩個無線耳機的人，在四肢微微抽搐的狀態下咕噥	鼻子被塞了两个无线耳机的人，在四肢微微抽搐的状态下咕哝
# JP：陰キャの女子高生は真っ向から麦むぎ野の沈しず利りの目を見て言った。（言った 仅一次，新译重复）
开了口。开了口。	开了口。
# JP：ひとまず闇医者の仮説が正しくて何よりだ。（回钉：闇医者 旧译「黑医」正确，上游删句后仅剩误译「蜜蚁的假设」；键含 <p> 锚定，不得移除否则命中旧文本重复插入）
<p>「<ruby>念写能力<rt>Thoughtograph</rt></ruby>」使用者一旦死亡	<p>还好那个黑医的假说是正确的。只要「<ruby>念写能力<rt>Thoughtograph</rt></ruby>」使用者一旦死亡
# JP：あんまり驚いているリアクションでもないが。（原文无「虽然」，且新译重复字词）
虽然虽然对方并没有	对方并没有
