双脚腿	双腿
喃喃自语说出	喃喃自语出
的国家时，	
民问	民间
履次	屡次
数十秒间就可以	数十秒间就
说不定像是看见	说不定像是
功输出率	输出功率
仅以需要的分量收集起来	仅收集需要的分量
用日文大喊	用日语大喊
自己手中握着控制钥匙，眼前则是控制发射用的控制面板	自己手中握着钥匙，眼前则是发射控制面板
高举朝上	高举
偷懒懈怠	懈怠
百分之百几乎一定	百分之百
由于外在刺激导致发生错误	由于外在刺激而发生错误
痡	痛
人面很广	人脉很广
预想模拟	预想
才能可以扩展	才能扩展
莱布尼兹	莱布尼茨
直接遭到横扫	被横扫
状况扣	状况？
隐瞒这这件事	隐瞒着这件事

# jp「そして光線から右手を離した」
光在线	光线上
# jp「拷問用に改造された釘抜きバール」
拷间	拷问
# jp「ありとあらゆる事件やその元凶たる超能力、先進技術が隠蔽されていくのを目の当たりにしてきた」——
# 旧译「有人试图一手遮天」原文无，且「事件元凶的超能力」易误读为「元凶的超能力」。
对于曾亲眼见识过有人试图一手遮天，隐瞒所有事件和事件元凶的超能力及先进技术的	对于曾亲眼目睹所有事件和作为事件元凶的超能力及先进技术遭到掩盖的
# jp「杖をついている方の腋で携帯端末や羊皮紙の束を挟んだ」——旧译把「方」（侧）读反，且「那只手腋下」不通。
用没拿着拐杖的那只手腋下	用拄着拐杖的那一侧腋下
# jp「俯いて、一瞬だけ一方通行はその意味を噛み締めた」
仅止一瞬间	仅一瞬间
# jp「立ち位置程度で魂は汚されない」——「因为……因此」搭配冗余。
灵魂就因此遭到玷污	灵魂就遭到玷污
# jp「麦野も滝壺も使い物にならない以上、一緒に戦うのは得策ではない」——「既然……因此」搭配冗余。
因此一起作战	一起作战
# jp「浜面は叫びながら、フルオートで弾丸を撃ち続ける」
滨面大呐喊	滨面呐喊着
# jp「格段に近い」；状语用语料通行的「格外地」。
显得格外的近	显得格外地近
# jp「『多重能力者デュアルスキル』の現実すら視野に入る」——ruby 基底衍出「力」字。
多重能力者力	多重能力者
# jp「無理矢理に『闇』の世界で汚れ仕事を押し付ける」——汚れ仕事=脏活，旧译误作「被污染的事情」且「被」后多一逗号。
那些被，『黑暗』世界污染的事情推给他们	『黑暗』世界的脏活推给他们
# jp「そして伝統的に、魔女狩りの対象者は教会に資産を没収されるものと相場は決まっている」
传统传统	传统
