退了一下	退了一步
被害当事人	受害者
说这话走近	说着话走近
他如果在这里	如果在这里
匐倒	趴倒
洗衣精	洗衣液
生物样品	生物样本
击溃所有死角	消除所有死角
为了不让我们发生状况遇袭	为了防止我们遇袭
开动吃饭	开始吃饭
借此整备出	借此构建出
话一脱口的瞬间	话刚出口的瞬间
住在学园都市大部分的学生都会使用宿舍	学园都市的大部分学生都会住在宿舍
在用汤勺在	用汤勺在
相当正常红色修道服	相当正常的红色修道服
电压的单位恐怕到达上亿	电压恐怕达到了上亿伏特
一世纪单位	一百年
两百CC	两百毫升
百万分之一米	微米
风速达到一百	风速达到每秒一百
逃脱大人们的束缚	摆脱大人们的束缚
反抗另寻出处	反抗并另寻出路
的前三十分钟就在这里	的半小时前就已经在这里了
不管耳边有闹钟响起	无论是耳边有闹钟响起
除去这十五分钟	除了十五分钟这个限制
契约金额相当高	收费高昂
所以从远处来到	从远处来到
她的容许量	她的食量
地板耐震补强器	地板的耐震补强器
全部一概	一概
一手拿着书喝茶	一手拿书一手喝茶
最大深部	最深处
不只你一个人	不止你一个人
偷偷摸摸地窃窃私语	窃窃私语
课税	征税
住居	住处
设置型天线基站	固定型天线基站
不用那么制式	不用那么正式
所费不菲	花费不菲
多角化	多角度
嘻皮笑脸	嬉皮笑脸
亚铅	镀锌
具防水性	具有防水性
普通反应	正常反应
拔腿起跑	拔腿就跑
基本最低限度	基本需求
粘在身边	黏在身边
食用期限是	保质期到
超市或超市	超市
这样的运动	这样的活动
钻爱牛角尖	爱钻牛角尖
